Data;Ora;PUN
2004-04-11;6;33,82
2004-04-11;7;27,90
2004-04-11;8;25,83
2004-04-11;9;41,43
2004-04-11;10;43,05
2004-04-11;11;43,10
2004-04-11;12;43,06
2004-04-11;13;38,77
2004-04-11;14;31,33
2004-04-11;15;31,15
2004-04-11;16;27,24
2004-04-11;17;26,71
2004-04-11;18;26,05
2004-04-11;19;35,43
2004-04-11;20;46,85
2004-04-11;21;47,06
2004-04-11;22;40,44
2004-04-11;23;38,34
2004-04-11;24;35,81
2004-04-12;1;30,52
2004-04-12;2;25,82
2004-04-12;3;28,27
2004-04-12;4;29,03
2004-04-12;5;25,57
2004-04-12;6;28,74
2004-04-12;7;32,07
2004-04-12;8;32,67
2004-04-12;9;44,96
2004-04-12;10;37,35
2004-04-12;11;45,00
2004-04-12;12;37,77
2004-04-12;13;38,30
2004-04-12;14;34,19
2004-04-12;15;34,26
2004-04-12;16;32,74
2004-04-12;17;25,66
2004-04-12;18;25,67
2004-04-12;19;36,82
2004-04-12;20;39,24
2004-04-12;21;47,41
2004-04-12;22;47,23
2004-04-12;23;37,17
2004-04-12;24;37,22
2004-04-13;1;35,83
2004-04-13;2;35,72
2004-04-13;3;32,51
2004-04-13;4;34,32
2004-04-13;5;34,27
2004-04-13;6;31,53
2004-04-13;7;31,03
2004-04-13;8;39,43
2004-04-13;9;66,13
2004-04-13;10;66,09
2004-04-13;11;66,14
2004-04-13;12;66,10
2004-04-13;13;66,13
2004-04-13;14;66,14
2004-04-13;15;65,27
2004-04-13;16;64,74
2004-04-13;17;66,22
2004-04-13;18;66,22
2004-04-13;19;66,18
2004-04-13;20;66,07
2004-04-13;21;66,11
2004-04-13;22;51,24
2004-04-13;23;39,46
2004-04-13;24;36,18
2004-04-14;1;34,70
2004-04-14;2;30,91
2004-04-14;3;30,09
2004-04-14;4;29,99
2004-04-14;5;29,56
2004-04-14;6;29,42
2004-04-14;7;29,98
2004-04-14;8;35,71
2004-04-14;9;64,59
2004-04-14;10;64,50
2004-04-14;11;64,65
2004-04-14;12;63,39
2004-04-14;13;64,42
2004-04-14;14;64,01
2004-04-14;15;64,09
2004-04-14;16;64,11
2004-04-14;17;65,35
2004-04-14;18;64,60
2004-04-14;19;64,24
2004-04-14;20;64,15
2004-04-14;21;64,82
2004-04-14;22;41,99
