Ora,PUN_n,df24
2,50.18,52.0
3,49.11,51.0
4,48.15,47.27
5,48.41,45.49
6,48.15,45.69
7,52.0,48.07
8,60.3,45.67
9,65.09,45.48
10,62.67,42.06
11,61.17,46.86
12,58.26,48.02
13,54.71,49.57
14,55.01,48.69
15,59.1,46.91
16,58.4,49.43
17,61.23,50.94
18,74.09,54.26
19,78.01,60.95
20,77.26,63.42
21,71.28,58.42
22,61.61,57.27
23,56.25,54.35
24,52.23,52.5
1,50.56,53.0
2,47.09,50.18
3,44.43,49.11
4,44.7,48.15
5,44.82,48.41
6,46.13,48.15
7,52.99,52.0
8,58.09,60.3
9,59.57,65.09
10,58.6,62.67
11,57.91,61.17
12,58.46,58.26
13,54.88,54.71
14,54.67,55.01
15,57.43,59.1
16,60.54,58.4
17,62.69,61.23
18,67.01,74.09
19,63.57,78.01
20,60.4,77.26
21,61.94,71.28
22,61.42,61.61
23,58.97,56.25
24,54.95,52.23
1,58.33,50.56
2,54.97,47.09
3,53.72,44.43
4,52.0,44.7
5,51.36,44.82
6,53.02,46.13
7,59.22,52.99
8,63.6,58.09
9,66.04,59.57
10,65.72,58.6
11,65.07,57.91
12,64.27,58.46
13,60.34,54.88
14,61.96,54.67
15,62.16,57.43
16,61.52,60.54
17,63.69,62.69
18,66.71,67.01
19,71.09,63.57
20,67.08,60.4
21,65.97,61.94
22,62.42,61.42
23,58.12,58.97
24,53.54,54.95
1,44.93,58.33
2,41.98,54.97
3,43.04,53.72
4,41.44,52.0
5,38.12,51.36
6,42.26,53.02
7,49.36,59.22
8,59.98,63.6
9,60.85,66.04
10,61.49,65.72
11,60.83,65.07
12,57.21,64.27
13,52.91,60.34
14,51.79,61.96
15,54.67,62.16
16,56.97,61.52
17,61.14,63.69
18,68.4,66.71
19,66.57,71.09
20,63.22,67.08
21,59.4,65.97
22,57.82,62.42
23,57.08,58.12
24,53.23,53.54
1,50.86,44.93
2,48.08,41.98
3,46.71,43.04
4,44.0,41.44
5,43.11,38.12
6,44.19,42.26
7,48.09,49.36
8,52.82,59.98
9,51.51,60.85
10,51.8,61.49
11,52.54,60.83
12,51.0,57.21
13,52.06,52.91
14,48.23,51.79
15,52.82,54.67
16,53.23,56.97
17,57.61,61.14
18,64.5,68.4
19,69.34,66.57
20,70.15,63.22
21,69.15,59.4
22,66.49,57.82
23,59.31,57.08
24,58.43,53.23
1,50.53,50.86
2,47.64,48.08
3,47.13,46.71
4,47.66,44.0
5,45.54,43.11
6,47.01,44.19
7,48.95,48.09
8,55.1,52.82
9,57.52,51.51
10,61.0,51.8
11,59.0,52.54
12,59.19,51.0
13,51.21,52.06
14,53.77,48.23
15,52.2,52.82
16,53.16,53.23
17,58.23,57.61
18,68.24,64.5
19,75.39,69.34
20,78.41,70.15
21,68.1,69.15
22,59.29,66.49
23,59.13,59.31
24,57.97,58.43
1,53.56,50.53
2,51.82,47.64
3,51.25,47.13
4,49.97,47.66
5,47.99,45.54
6,48.0,47.01
7,49.69,48.95
8,50.13,55.1
9,51.5,57.52
10,54.0,61.0
11,55.0,59.0
12,55.12,59.19
13,54.55,51.21
14,55.11,53.77
15,54.0,52.2
16,53.0,53.16
17,54.33,58.23
18,61.32,68.24
19,71.54,75.39
20,76.21,78.41
21,74.09,68.1
22,69.65,59.29
23,61.95,59.13
24,56.34,57.97
1,53.96,53.56
2,51.79,51.82
3,49.92,51.25
4,45.75,49.97
5,45.02,47.99
6,51.37,48.0
7,60.03,49.69
8,68.22,50.13
9,78.84,51.5
10,71.79,54.0
11,70.63,55.0
12,68.3,55.12
13,66.68,54.55
14,67.95,55.11
15,67.91,54.0
16,71.53,53.0
17,72.27,54.33
18,79.7,61.32
19,84.34,71.54
20,80.85,76.21
21,78.05,74.09
22,65.45,69.65
23,62.32,61.95
24,59.98,56.34
1,59.94,53.96
2,59.6,51.79
3,59.09,49.92
4,57.99,45.75
5,59.1,45.02
6,59.84,51.37
7,64.51,60.03
8,83.6,68.22
9,95.0,78.84
10,107.55,71.79
11,101.92,70.63
12,87.63,68.3
13,82.06,66.68
14,80.0,67.95
15,86.09,67.91
16,90.0,71.53
17,98.0,72.27
18,120.0,79.7
19,109.04,84.34
20,98.32,80.85
21,92.66,78.05
22,91.58,65.45
23,71.01,62.32
24,66.98,59.98
1,66.46,59.94
2,64.79,59.6
3,62.05,59.09
4,58.21,57.99
5,58.6,59.1
6,62.29,59.84
7,74.02,64.51
8,90.7,83.6
9,96.88,95.0
10,93.1,107.55
11,82.57,101.92
12,78.83,87.63
13,77.83,82.06
14,76.18,80.0
15,77.63,86.09
16,77.73,90.0
17,80.0,98.0
18,83.65,120.0
19,95.76,109.04
20,88.71,98.32
21,85.52,92.66
22,78.64,91.58
23,78.88,71.01
24,72.6,66.98
1,75.88,66.46
2,76.6,64.79
3,72.66,62.05
4,71.58,58.21
5,71.1,58.6
6,71.88,62.29
7,76.76,74.02
8,83.83,90.7
9,96.43,96.88
10,100.0,93.1
11,98.36,82.57
12,86.92,78.83
13,80.31,77.83
14,78.3,76.18
15,82.69,77.63
16,83.77,77.73
17,86.89,80.0
18,100.0,83.65
19,96.88,95.76
20,87.84,88.71
21,82.54,85.52
22,79.42,78.64
23,73.24,78.88
24,67.13,72.6
1,66.01,75.88
2,59.93,76.6
3,54.42,72.66
4,51.17,71.58
5,49.05,71.1
6,58.8,71.88
7,76.03,76.76
8,84.8,83.83
9,89.02,96.43
10,93.86,100.0
11,91.12,98.36
12,94.17,86.92
13,83.96,80.31
14,85.44,78.3
15,83.19,82.69
16,84.0,83.77
17,83.85,86.89
18,93.18,100.0
19,93.76,96.88
20,86.77,87.84
21,81.02,82.54
22,74.08,79.42
23,72.66,73.24
24,69.34,67.13
1,62.38,66.01
2,56.42,59.93
3,52.91,54.42
4,49.89,51.17
5,46.42,49.05
6,48.45,58.8
7,54.16,76.03
8,58.57,84.8
9,66.62,89.02
10,68.39,93.86
11,65.45,91.12
12,63.23,94.17
13,62.2,83.96
14,57.86,85.44
15,56.85,83.19
16,58.29,84.0
17,60.48,83.85
18,72.89,93.18
19,85.97,93.76
20,82.56,86.77
21,77.14,81.02
22,67.68,74.08
23,69.32,72.66
24,65.42,69.34
1,61.73,62.38
2,54.8,56.42
3,53.0,52.91
4,51.59,49.89
5,50.0,46.42
6,50.0,48.45
7,51.0,54.16
8,52.19,58.57
9,55.16,66.62
10,62.47,68.39
11,64.32,65.45
12,65.31,63.23
13,68.58,62.2
14,62.38,57.86
15,57.83,56.85
16,57.06,58.29
17,56.78,60.48
18,69.47,72.89
19,85.12,85.97
20,80.37,82.56
21,77.82,77.14
22,74.9,67.68
23,68.39,69.32
24,64.0,65.42
1,55.85,61.73
2,51.38,54.8
3,48.01,53.0
4,41.89,51.59
5,40.98,50.0
6,48.98,50.0
7,64.73,51.0
8,88.46,52.19
9,103.07,55.16
10,102.04,62.47
11,95.83,64.32
12,95.08,65.31
13,90.01,68.58
14,89.63,62.38
15,94.94,57.83
16,95.73,57.06
17,95.98,56.78
18,104.26,69.47
19,113.55,85.12
20,102.84,80.37
21,89.8,77.82
22,77.65,74.9
23,73.67,68.39
24,72.02,64.0
1,68.81,55.85
2,63.95,51.38
3,65.39,48.01
4,55.98,41.89
5,55.63,40.98
6,64.12,48.98
7,81.21,64.73
8,104.56,88.46
9,120.0,103.07
10,120.0,102.04
11,112.18,95.83
12,107.61,95.08
13,97.77,90.01
14,90.74,89.63
15,95.53,94.94
16,98.7,95.73
17,102.94,95.98
18,120.0,104.26
19,139.83,113.55
20,114.36,102.84
21,97.54,89.8
22,83.75,77.65
23,79.95,73.67
24,80.83,72.02
1,71.77,68.81
2,62.44,63.95
3,57.78,65.39
4,54.14,55.98
5,52.07,55.63
6,60.4,64.12
7,79.67,81.21
8,100.74,104.56
9,102.54,120.0
10,101.31,120.0
11,94.91,112.18
12,85.34,107.61
13,82.78,97.77
14,79.49,90.74
15,79.46,95.53
16,85.73,98.7
17,81.2,102.94
18,97.96,120.0
19,109.49,139.83
20,100.5,114.36
21,84.17,97.54
22,81.16,83.75
23,80.81,79.95
24,77.32,80.83
1,70.77,71.77
2,66.12,62.44
3,63.58,57.78
4,59.76,54.14
5,58.71,52.07
6,64.72,60.4
7,78.67,79.67
8,88.7,100.74
9,100.62,102.54
10,101.16,101.31
11,107.89,94.91
12,92.48,85.34
13,80.66,82.78
14,80.65,79.49
15,82.57,79.46
16,80.61,85.73
17,85.76,81.2
18,86.34,97.96
19,110.0,109.49
20,97.41,100.5
21,86.12,84.17
22,85.2,81.16
23,80.42,80.81
24,73.37,77.32
1,72.38,70.77
2,71.51,66.12
3,68.53,63.58
4,65.65,59.76
5,61.01,58.71
6,73.79,64.72
7,87.63,78.67
8,99.57,88.7
9,120.0,100.62
10,102.61,101.16
11,98.22,107.89
12,89.58,92.48
13,81.91,80.66
14,81.43,80.65
15,82.42,82.57
16,86.02,80.61
17,85.48,85.76
18,87.4,86.34
19,99.82,110.0
20,95.7,97.41
21,83.69,86.12
22,80.34,85.2
23,79.8,80.42
24,79.46,73.37
1,74.08,72.38
2,66.42,71.51
3,62.35,68.53
4,60.97,65.65
5,59.82,61.01
6,60.29,73.79
7,60.53,87.63
8,63.92,99.57
9,70.95,120.0
10,79.22,102.61
11,73.74,98.22
12,69.34,89.58
13,60.15,81.91
14,52.84,81.43
15,53.53,82.42
16,60.28,86.02
17,59.79,85.48
18,67.1,87.4
19,77.71,99.82
20,78.36,95.7
21,64.74,83.69
22,61.34,80.34
23,58.95,79.8
24,56.14,79.46
1,69.92,74.08
2,65.11,66.42
3,60.52,62.35
4,58.44,60.97
5,56.56,59.82
6,56.44,60.29
7,57.8,60.53
8,58.15,63.92
9,59.0,70.95
10,63.65,79.22
11,65.6,73.74
12,67.15,69.34
13,67.12,60.15
14,63.46,52.84
15,58.13,53.53
16,56.54,60.28
17,58.24,59.79
18,64.22,67.1
19,79.78,77.71
20,85.7,78.36
21,85.43,64.74
22,76.33,61.34
23,73.18,58.95
24,69.07,56.14
1,60.21,69.92
2,60.31,65.11
3,58.42,60.52
4,57.62,58.44
5,55.78,56.56
6,59.22,56.44
7,71.65,57.8
8,100.03,58.15
9,120.0,59.0
10,115.75,63.65
11,110.0,65.6
12,99.53,67.15
13,92.18,67.12
14,83.5,63.46
15,82.81,58.13
16,92.17,56.54
17,96.32,58.24
18,105.06,64.22
19,125.37,79.78
20,110.96,85.7
21,99.57,85.43
22,82.93,76.33
23,76.34,73.18
24,72.69,69.07
1,72.39,60.21
2,69.94,60.31
3,65.77,58.42
4,62.54,57.62
5,62.47,55.78
6,69.01,59.22
7,84.05,71.65
8,134.3,100.03
9,162.41,120.0
10,134.85,115.75
11,128.34,110.0
12,111.92,99.53
13,101.25,92.18
14,98.04,83.5
15,96.94,82.81
16,106.54,92.17
17,110.98,96.32
18,120.0,105.06
19,133.91,125.37
20,120.0,110.96
21,108.19,99.57
22,85.27,82.93
23,78.54,76.34
24,75.56,72.69
1,78.93,72.39
2,72.41,69.94
3,70.15,65.77
4,68.3,62.54
5,65.2,62.47
6,68.98,69.01
7,89.21,84.05
8,120.0,134.3
9,161.83,162.41
10,145.14,134.85
11,120.0,128.34
