PUN_n,df24
0.3048235294117647,0.3058823529411765
0.3014705882352941,0.3
0.2939411764705882,0.2780588235294118
0.2822941176470588,0.2675882352941177
0.2823529411764706,0.2687647058823529
0.2922941176470588,0.2827647058823529
0.2948823529411765,0.2686470588235294
0.3029411764705882,0.26752941176470585
0.3176470588235294,0.24741176470588236
0.3235294117647059,0.2756470588235294
0.32423529411764707,0.28247058823529414
0.32088235294117645,0.29158823529411765
0.3241764705882353,0.2864117647058823
0.3176470588235294,0.2759411764705882
0.31176470588235294,0.2907647058823529
0.3195882352941176,0.2996470588235294
0.36070588235294115,0.3191764705882353
0.42082352941176476,0.3585294117647059
0.4482941176470588,0.3730588235294118
0.4358235294117647,0.3436470588235294
0.4097058823529412,0.33688235294117647
0.3644117647058824,0.3197058823529412
0.33141176470588235,0.3088235294117647
0.31741176470588234,0.31176470588235294
0.3046470588235294,0.29517647058823526
0.2936470588235294,0.2888823529411765
0.2691176470588235,0.28323529411764703
0.26482352941176474,0.2847647058823529
0.30217647058823527,0.28323529411764703
0.35311764705882354,0.3058823529411765
0.4012941176470588,0.35470588235294115
0.46376470588235297,0.3828823529411765
0.4222941176470589,0.36864705882352944
0.4154705882352941,0.3598235294117647
0.4017647058823529,0.34270588235294114
0.39223529411764707,0.32182352941176473
0.3997058823529412,0.3235882352941176
0.3994705882352941,0.3476470588235294
0.42076470588235293,0.34352941176470586
0.4251176470588235,0.36017647058823526
0.4688235294117647,0.4358235294117647
0.49611764705882355,0.4588823529411765
0.4755882352941176,0.4544705882352941
0.4591176470588235,0.4192941176470588
0.385,0.3624117647058823
0.36658823529411766,0.33088235294117646
0.3528235294117647,0.30723529411764705
0.35258823529411765,0.2974117647058824
0.35058823529411764,0.277
0.34758823529411764,0.26135294117647057
0.3411176470588235,0.26294117647058823
0.3476470588235294,0.2636470588235294
0.35200000000000004,0.2713529411764706
0.3794705882352941,0.31170588235294117
0.4917647058823529,0.3417058823529412
0.5588235294117647,0.35041176470588237
0.6326470588235293,0.3447058823529412
0.5995294117647059,0.3406470588235294
0.5154705882352941,0.3438823529411765
0.4827058823529412,0.32282352941176473
0.47058823529411764,0.3215882352941177
0.5064117647058823,0.3378235294117647
0.5294117647058824,0.35611764705882354
0.5764705882352941,0.36876470588235294
0.7058823529411764,0.3941764705882353
0.6414117647058823,0.3739411764705882
0.5783529411764705,0.3552941176470588
0.5450588235294117,0.36435294117647055
0.5387058823529411,0.3612941176470588
0.4177058823529412,0.3468823529411765
0.394,0.32323529411764707
0.3909411764705882,0.3431176470588235
0.38111764705882356,0.32335294117647057
0.365,0.316
0.34241176470588236,0.3058823529411765
0.3447058823529412,0.30211764705882355
0.3664117647058823,0.3118823529411765
0.43541176470588233,0.3483529411764706
0.5335294117647059,0.37411764705882355
0.5698823529411764,0.3884705882352941
0.5476470588235294,0.3865882352941176
0.48570588235294115,0.3827647058823529
0.46370588235294113,0.3780588235294117
0.4578235294117647,0.35494117647058826
0.44811764705882356,0.3644705882352941
0.4566470588235294,0.3656470588235294
0.4572352941176471,0.3618823529411765
0.47058823529411764,0.3746470588235294
0.49205882352941177,0.3924117647058823
0.5632941176470588,0.4181764705882353
0.5218235294117647,0.39458823529411763
0.5030588235294118,0.38805882352941173
0.46258823529411763,0.3671764705882353
0.46399999999999997,0.34188235294117647
0.4270588235294117,0.3149411764705882
0.44635294117647056,0.2642941176470588
0.4505882352941176,0.24694117647058822
